service_uid,utility,utility_service_id,utility_service_address,utility_meter_number,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,source,updated,interval_timezone
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 23:00,04/28/2016 00:00,0.2346,0.2346,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.878646+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 22:00,04/27/2016 23:00,0.1632,0.1632,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.870896+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 21:00,04/27/2016 22:00,0.132,0.132,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.887965+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 20:00,04/27/2016 21:00,0.1272,0.1272,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.883940+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 19:00,04/27/2016 20:00,0.111,0.111,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.890753+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 18:00,04/27/2016 19:00,0.21420000000000003,0.21420000000000003,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.876490+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 17:00,04/27/2016 18:00,0.2064,0.2064,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.887377+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 16:00,04/27/2016 17:00,0.2046,0.2046,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.881308+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 15:00,04/27/2016 16:00,0.1362,0.1362,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.883044+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 14:00,04/27/2016 15:00,0.075,0.075,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.873104+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 13:00,04/27/2016 14:00,0.0786,0.0786,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.890583+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 12:00,04/27/2016 13:00,0.0786,0.0786,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.891552+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 11:00,04/27/2016 12:00,0.0768,0.0768,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.869825+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 10:00,04/27/2016 11:00,0.129,0.129,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.884255+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 09:00,04/27/2016 10:00,0.0864,0.0864,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.875684+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 08:00,04/27/2016 09:00,0.08760000000000001,0.08760000000000001,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.882054+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 07:00,04/27/2016 08:00,0.0804,0.0804,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.874614+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 06:00,04/27/2016 07:00,0.0762,0.0762,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.879189+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 05:00,04/27/2016 06:00,0.07440000000000001,0.07440000000000001,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.885258+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,04/27/2016 04:00,04/27/2016 05:00,0.0732,0.0732,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:10.884591+00:00,US/Pacific
